frequency,horizon_steps,best_mean_loss,winners,comparable,tasks_per_model
H,168,0.7846032883644195,"[""chronos2""]",True,6
H,72,0.821943688748379,"[""chronos2""]",True,3
H,24,0.7254444841580349,"[""chronos2""]",True,6
15T,288,0.8178296453239348,"[""chronos2""]",True,3
15T,96,0.7738932628714135,"[""chronos2""]",True,4
15T,12,0.6429367877417649,"[""chronos2""]",True,2
20T,216,0.7721222137595802,"[""chronos2""]",True,2
20T,72,0.7442095492378983,"[""chronos2""]",True,2
20T,9,0.42190345030739196,"[""chronos2""]",True,2
5T,864,0.8116659103470374,"[""chronos2""]",True,2
5T,288,0.7207117235490266,"[""chronos2""]",True,6
5T,36,0.5276444534484866,"[""chronos2""]",True,2
H,336,0.754077553234548,"[""chronos2""]",True,3
D,30,0.6218730983356138,"[""chronos2""]",True,4
15T,672,0.8055834442084471,"[""chronos2""]",True,1
15T,24,0.5939734483864587,"[""chronos2""]",True,1
W,13,0.8631156073210002,"[""chronos2""]",True,3
Q,4,0.7555140138191018,"[""chronos2""]",True,2
M,12,0.6311365195499835,"[""chronos2""]",True,5
5T,576,0.7697031713678401,"[""chronos2""]",True,1
5T,48,0.6474963915900973,"[""chronos2""]",True,2
B,20,0.8570818612351812,"[""chronos2""]",True,2
5T,96,0.5676356999307661,"[""chronos2""]",True,1
5T,24,0.3744558270637341,"[""chronos2""]",True,1
D,14,0.7574084832096842,"[""chronos2""]",True,1
D,7,0.7524136163544697,"[""chronos2""]",True,1
D,3,0.796892469607957,"[""chronos2""]",True,1
M,6,0.3595686973057672,"[""chronos2""]",True,1
15T,16,0.5606183316544642,"[""chronos2""]",True,1
10T,432,0.6481016112622744,"[""chronos2""]",True,1
10T,144,0.6504730347224693,"[""chronos2""]",True,1
10T,18,0.4982241807387488,"[""chronos2""]",True,1
