model,dataset,frequency,term,horizon_steps,MASE,scaled_MASE,inference_seconds,domain,reference_loss,reference_scaled_MASE,reference_inference_seconds,loss_ratio_to_reference,paired_improvement_percent
chronos2,Australia_Solar,H,long,168,1.2018281744488242,0.9416618510942494,0.6659865155816078,Climate,1.2762842341465261,1.0,0.36489084642380476,0.9416618510942494,5.833814890575062
chronos2,Australia_Solar,H,medium,72,1.1800124087404333,0.8682980015409134,1.4999788347631693,Climate,1.3589947306642882,1.0,0.6641839258372784,0.8682980015409134,13.170199845908659
chronos2,Australia_Solar,H,short,24,1.0801986078696775,0.8743228836923077,4.5212314538657665,Climate,1.235468758758717,1.0,1.7007500659674406,0.8743228836923077,12.56771163076923
chronos2,Coastal_T_S,15T,long,288,1.3875581082571342,0.8707587626300575,1.107451742514968,Climate,1.5935046166703226,1.0,0.7146508358418941,0.8707587626300575,12.924123736994254
chronos2,Coastal_T_S,15T,medium,96,1.2499044805484731,0.8610019637812075,3.258535273373127,Climate,1.4516859811322,1.0,1.338175474666059,0.8610019637812075,13.899803621879247
chronos2,Coastal_T_S,15T,short,12,1.1305421777613458,0.7807741845492597,25.83088643476367,Climate,1.447975868226236,1.0,7.751331891864538,0.7807741845492597,21.922581545074028
chronos2,Coastal_T_S,20T,long,216,1.40107906844124,0.7623736639157456,0.21033758856356144,Climate,1.837785242009726,1.0,0.11135085113346577,0.7623736639157456,23.762633608425443
chronos2,Coastal_T_S,20T,medium,72,0.9893873397286916,0.7712892761749798,0.608151413500309,Climate,1.2827707713444634,1.0,0.2132205916568637,0.7712892761749798,22.87107238250202
chronos2,Coastal_T_S,20T,short,9,0.4837239164322052,0.37842922732277956,4.771547915413976,Climate,1.2782414293270614,1.0,1.2665154142305255,0.37842922732277956,62.15707726772204
chronos2,Coastal_T_S,5T,long,864,1.2523820244662438,0.8456190490682177,4.561109384521842,Climate,1.4810239029575263,1.0,6.789144224487245,0.8456190490682177,15.438095093178228
chronos2,Coastal_T_S,5T,medium,288,1.0308772524981114,0.8435526675685248,12.306445825845003,Climate,1.222066258731106,1.0,10.081392582505941,0.8435526675685248,15.644733243147524
chronos2,Coastal_T_S,5T,short,36,0.7896222578771841,0.648183426225912,93.53529674559832,Climate,1.2182080348379292,1.0,47.6121036214754,0.648183426225912,35.181657377408804
chronos2,Coastal_T_S,H,long,336,2.2993972623411953,0.868741375285576,1.781013399362564,Climate,2.646814492501095,1.0,1.3289766171947122,0.868741375285576,13.125862471442396
chronos2,Coastal_T_S,H,medium,168,1.6186087612668207,0.7876444256301238,3.0462305415421724,Climate,2.05499932278695,1.0,1.804201859049499,0.7876444256301238,21.23555743698762
chronos2,Coastal_T_S,H,short,24,0.9170107993064466,0.7610453190755468,19.035508250817657,Climate,1.204935864293014,1.0,7.276267562992871,0.7610453190755468,23.895468092445316
chronos2,Crypto,D,short,30,6.229414519044989,1.00970006876443,0.24596727080643177,Finance,6.169569272851417,1.0,0.13141694758087397,1.00970006876443,-0.970006876442997
chronos2,EWELD_Load,15T,long,672,0.783903940462814,0.8055834442084471,1.0261793993413448,Energy,0.9730884442803625,1.0,0.3245005141943693,0.8055834442084471,19.44165557915529
chronos2,EWELD_Load,15T,medium,96,0.6517499058194366,0.7156200914220604,6.907980304211378,Energy,0.9107484734313388,1.0,0.8178674932569265,0.7156200914220604,28.43799085779396
chronos2,EWELD_Load,15T,short,24,0.5410549753460259,0.5939734483864587,27.61400037072599,Energy,0.9109076791493171,1.0,2.7549216523766518,0.5939734483864587,40.60265516135413
chronos2,Global_Influenza,W,short,13,2.687638982050807,0.6352502369244118,0.24679360911250114,Healthcare,4.230835072275004,1.0,0.980701144784689,0.6352502369244118,36.47497630755881
chronos2,Global_Price,Q,short,4,1.427177699241114,0.7670994292248641,2.3210182078182697,Economics,1.8604859355497676,1.0,1.0117378337308764,0.7670994292248641,23.290057077513595
chronos2,Housing_Inventory,M,short,12,0.5298323474074871,0.7746000796165943,0.017126984894275665,Economics,0.6840076077319015,1.0,0.04277162812650204,0.7746000796165943,22.53999203834057
chronos2,JOLTS,M,short,12,0.904207826146026,0.5364326189535265,0.04568846337497234,Economics,1.68559441428069,1.0,0.12435972783714533,0.5364326189535265,46.356738104647356
chronos2,Job_Claims,W,short,13,3.1438350009057947,1.1552232756202152,0.019501397386193275,Economics,2.721408984092651,1.0,0.03477336373180151,1.1552232756202152,-15.52232756202152
chronos2,MetroPT-3,5T,long,576,0.6686335791603075,0.7697031713678401,0.5403264332562685,Transport,0.8686901704875118,1.0,0.25579052697867155,0.7697031713678401,23.029682863215996
chronos2,MetroPT-3,5T,medium,288,0.6510332163085235,0.7627195001255404,1.0614042431116104,Transport,0.8535683382965379,1.0,0.3266339413821697,0.7627195001255404,23.728049987445964
chronos2,MetroPT-3,5T,short,48,0.6120071773833843,0.7013424420454782,6.182057186961174,Transport,0.8726224746907574,1.0,1.0416007470339537,0.7013424420454782,29.865755795452177
chronos2,NE_China_Wind,H,long,168,1.2035646196150274,0.9042069560909737,0.284289363771677,Climate,1.3310720643183538,1.0,0.10292179975658655,0.9042069560909737,9.579304390902632
chronos2,NE_China_Wind,H,medium,72,0.8915087564825196,0.8160283686334024,0.7086655795574188,Climate,1.092497259593467,1.0,0.18750894628465176,0.8160283686334024,18.397163136659756
chronos2,NE_China_Wind,H,short,24,0.49645281792425805,0.5965490694431159,2.218210941180587,Climate,0.8322078490336116,1.0,0.45941207837313414,0.5965490694431159,40.34509305568841
chronos2,Oil_Price,B,short,20,1.3434110105495953,0.8669019003793955,14.363553615286946,Finance,1.5496690109476723,1.0,12.918505388312042,0.8669019003793955,13.309809962060449
chronos2,OpenElectricity_NEM,5T,long,288,0.7277800631817501,0.7117830680774742,7.165496187284589,Energy,1.0224745372877215,1.0,1.473781293258071,0.7117830680774742,28.821693192252585
chronos2,OpenElectricity_NEM,5T,medium,96,0.5801664831742741,0.5676356999307661,20.835681226104498,Energy,1.0220753966761364,1.0,2.961383949033916,0.5676356999307661,43.236430006923385
chronos2,OpenElectricity_NEM,5T,short,24,0.3825696629333263,0.3744558270637341,82.93521692603827,Energy,1.021668339182264,1.0,9.567372966557741,0.3744558270637341,62.554417293626585
chronos2,Port_Activity,D,short,30,0.6587580456102443,0.6907909447743601,6.184440802782774,Transport,0.9536286637709488,1.0,8.336052159778774,0.6907909447743601,30.92090552256399
chronos2,Port_Activity,W,short,13,0.7793327843358488,0.7988733094183736,0.8017530553042889,Transport,0.9755398949343401,1.0,3.622349251061678,0.7988733094183736,20.112669058162634
chronos2,SG_PM25,H,long,168,0.9613872771580211,0.7446972197073972,1.5830085407942533,Climate,1.2909773955323274,1.0,0.5450284564867616,0.7446972197073972,25.530278029260277
chronos2,SG_PM25,H,medium,72,0.9262713755962227,0.781504696070821,3.6437017153948545,Climate,1.1852409592075988,1.0,0.9929322004318237,0.781504696070821,21.849530392917906
chronos2,SG_PM25,H,short,24,0.8697938450200406,0.7421402445643399,11.192591100931168,Climate,1.1720073818805468,1.0,2.6252891682088375,0.7421402445643399,25.78597554356601
chronos2,SG_Weather,D,long,14,0.8996563724561905,0.7574084832096842,4.4549368135631084,Climate,1.1878086823687262,1.0,2.067176808603108,0.7574084832096842,24.259151679031575
chronos2,SG_Weather,D,medium,7,0.8880768540756543,0.7524136163544697,8.377048207446933,Climate,1.180304070490495,1.0,3.9589907936751842,0.7524136163544697,24.758638364553033
chronos2,SG_Weather,D,short,3,0.8518474895420072,0.796892469607957,19.113382291048765,Climate,1.0689616504483799,1.0,9.068410464562476,0.796892469607957,20.3107530392043
chronos2,Smart_Manufacturing,H,long,336,0.7110117881725427,0.7094252863876743,0.8487856183201075,Industry,1.0022363197581337,1.0,1.5732318125665188,0.7094252863876743,29.05747136123257
chronos2,Smart_Manufacturing,H,medium,168,0.7112583049485662,0.7070750895369425,1.7031265441328287,Industry,1.0059162251273246,1.0,2.0938354451209307,0.7070750895369425,29.292491046305745
chronos2,Smart_Manufacturing,H,short,24,0.7114646381096326,0.7123756057654138,11.733702400699258,Industry,0.9987212256449988,1.0,8.254228632897139,0.7123756057654138,28.76243942345862
chronos2,Supply_Chain_Customer,D,short,30,0.5532599449884539,0.3629352386395159,18.439417503774166,Sales,1.5244040426120686,1.0,1.5101168360561132,0.3629352386395159,63.70647613604841
chronos2,Supply_Chain_Location,D,short,30,0.6049073031111394,0.4240661411641491,36.044389029964805,Sales,1.4264456517338167,1.0,2.1239393455907702,0.4240661411641491,57.59338588358509
chronos2,US_Labor,M,short,12,1.0014782225781211,0.5649756043189549,0.22072619944810867,Economics,1.7726043654315742,1.0,0.31104636937379837,0.5649756043189549,43.50243956810451
chronos2,US_Term_Structure,B,short,20,1.4954069056129031,0.8472618220909667,287.6225269138813,Finance,1.7649879489699798,1.0,76.68119631055743,0.8472618220909667,15.273817790903333
