domain,model,tasks,mean_task_MASE,scaled_MASE,total_inference_seconds,timed_tasks,relative_improvement_percent,relative_scaled_improvement_percent,mean_paired_improvement_percent,paired_percentage_tasks,reference_mean_loss,reference_total_inference_seconds
Climate,chronos2,42,0.9685105144783576,0.7173819139609119,241.88447009399533,42,25.31093792236345,28.26180860390881,26.7165059477627,42,1.2967233588656213,293.2159882802516
Finance,chronos2,3,3.093186798534516,0.9198588568807088,8.126780837774277,3,2.1579603031650296,8.014114311929122,7.651234575853824,3,3.1614087442563563,89.73111864645034
Energy,chronos2,6,0.6050536709931035,0.6055524262919211,14.703610345721245,6,38.05928980481329,39.44475737080789,37.849234851023866,6,0.9768271450011902,17.899827868677676
Healthcare,chronos2,1,2.702738655499249,0.6388191951065427,0.23756075277924538,1,36.11808048934573,36.11808048934573,36.11808048934573,1,4.230835072275004,0.980701144784689
Economics,chronos2,8,1.169610582207067,0.682291255662077,0.5854817479848862,8,22.545060807932337,31.770874433792294,27.69375384523957,8,1.5100529345284794,2.0936404392123222
Transport,chronos2,5,0.6720865555816784,0.741395150463021,5.672225182875991,5,25.720690134418124,25.860484953697906,25.74642320228161,5,0.9048099084360193,13.582426626235247
Industry,chronos2,3,0.7114176783222691,0.7097943465582347,3.6474304609000683,3,29.020863599794776,29.02056534417653,29.02021971375471,3,1.0022912568434859,11.921295890584588
Sales,chronos2,3,0.6635849399110642,0.4626041447564274,1.5199456550180912,3,53.17223095127221,53.73958552435726,52.451341310184496,3,1.417075708263092,3.8961679004132748
Unclassified,chronos2,2,0.6930034145575489,0.6768717874036472,72.12154320813715,2,32.328487043558994,32.312821259635285,32.3112179727609,2,1.0240696332644776,119.49597810022533
Cloud operations,chronos2,1,0.6571249748882112,0.5903799985688403,1.6691497806459665,1,40.96200014311597,40.96200014311597,40.96200014311597,1,1.1130542641708217,5.367972842417657
Climate,seasonal_naive,42,1.2967233588656215,1.0,293.2159882802516,42,0.0,0.0,0.0,42,1.2967233588656215,293.2159882802516
Finance,seasonal_naive,3,3.1614087442563563,1.0,89.73111864645034,3,0.0,0.0,0.0,3,3.1614087442563563,89.73111864645034
Sales,seasonal_naive,3,1.417075708263092,1.0,3.8961679004132748,3,0.0,0.0,0.0,3,1.417075708263092,3.8961679004132748
Transport,seasonal_naive,5,0.9048099084360193,1.0,13.582426626235247,5,0.0,0.0,0.0,5,0.9048099084360193,13.582426626235247
Economics,seasonal_naive,8,1.5100529345284794,1.0,2.0936404392123222,8,0.0,0.0,0.0,8,1.5100529345284794,2.0936404392123222
Industry,seasonal_naive,3,1.0022912568434856,1.0,11.921295890584588,3,0.0,0.0,0.0,3,1.0022912568434856,11.921295890584588
Energy,seasonal_naive,6,0.9768271450011902,1.0,17.899827868677676,6,0.0,0.0,0.0,6,0.9768271450011902,17.899827868677676
Unclassified,seasonal_naive,2,1.0240696332644776,1.0,119.49597810022533,2,0.0,0.0,0.0,2,1.0240696332644776,119.49597810022533
Healthcare,seasonal_naive,1,4.230835072275004,1.0,0.980701144784689,1,0.0,0.0,0.0,1,4.230835072275004,0.980701144784689
Cloud operations,seasonal_naive,1,1.1130542641708217,1.0,5.367972842417657,1,0.0,0.0,0.0,1,1.1130542641708217,5.367972842417657
