domain,chronos2,chronos_bolt,seasonal_naive,ts_icl
Climate,26.906578784278363,17.479508980246145,0.0,23.522704839103636
Cloud operations,40.63496511863816,30.55379275291923,0.0,37.54143335081239
Economics,29.959358551030608,18.946837538651433,0.0,26.828476339383954
Energy,37.18247378256468,30.07710139638937,0.0,34.5668507360058
Finance,20.915851984567013,16.92893348797216,0.0,20.176744115840673
Healthcare,16.67310154458274,14.70341745670175,0.0,5.337591158766341
Industry,29.037467292852728,28.682245282439382,0.0,28.957355926635103
Sales,54.89295262734165,54.16066537095926,0.0,53.225371241369906
Transport,35.797675238708344,30.21188506725986,0.0,32.328835955110804
Unclassified,32.013835645951445,22.063411607898182,0.0,28.126001153236015
