domain,chronos2__experiment_config.instance_normalization-none,chronos2__experiment_config.instance_normalization-zscore,chronos_bolt__experiment_config.instance_normalization-none,chronos_bolt__experiment_config.instance_normalization-zscore,seasonal_naive,ts_icl__experiment_config.instance_normalization-none,ts_icl__experiment_config.instance_normalization-zscore
Climate,0.7175059673406494,0.7175059884314495,0.8075665325768292,0.8075653667423168,1.0,0.7521763213968419,0.752176277656344
Cloud operations,0.5936503488136183,0.5936503551455034,0.6944620724708077,0.6944620756297083,1.0,0.6245856664918761,0.6245856560403267
Economics,0.6744807840945368,0.6744808145199213,0.7693060483420933,0.7693060671982674,1.0,0.7064677651287852,0.7064678671050989
Energy,0.6105618611977047,0.6105618622974522,0.6843068249146774,0.6843068130025493,1.0,0.6406460051573719,0.6406460051061696
Finance,0.7807226447918029,0.7807226323248304,0.8184711858652598,0.8184711720935799,1.0,0.7866148462328061,0.7866148334200281
Healthcare,0.8203072945551647,0.8203073244234504,0.8427264524642858,0.8427264481463492,1.0,0.9234010303559199,0.9234010186927134
Industry,0.7096220145537652,0.7096220148616061,0.7131701361447657,0.7131701368844418,1.0,0.710423203933081,0.710423203029871
Sales,0.43882902506417076,0.438829022502946,0.45149155632622734,0.45149155601671576,1.0,0.46033096831933124,0.4603309651923083
Transport,0.6296840039875741,0.6296840084016556,0.6878208887597586,0.6878208827593482,1.0,0.6669921278573406,0.6669921311988217
Unclassified,0.6798500647645618,0.6798500637067487,0.7791165650536745,0.7791165663492068,1.0,0.7186379108791688,0.7186379105731147
