domain,chronos2__experiment_config.instance_normalization-none,chronos2__experiment_config.instance_normalization-zscore,chronos_bolt__experiment_config.instance_normalization-none,chronos_bolt__experiment_config.instance_normalization-zscore,seasonal_naive,ts_icl__experiment_config.instance_normalization-none,ts_icl__experiment_config.instance_normalization-zscore
Climate,26.906578784278363,26.906576897621438,17.479508980246145,17.47964836094786,0.0,23.522704839103636,23.52270957246891
Cloud operations,40.63496511863816,40.634964485449665,30.55379275291923,30.55379243702917,0.0,37.54143335081239,37.54143439596733
Economics,29.959358551030608,29.959353804798095,18.946837538651433,18.946834479463618,0.0,26.828476339383954,26.828465729228753
Energy,37.18247378256468,37.18247354726577,30.07710139638937,30.077102691556195,0.0,34.5668507360058,34.56685073489626
Finance,20.915851984567013,20.91585365054186,16.92893348797216,16.92893509349804,0.0,20.176744115840673,20.176745833645068
Healthcare,16.67310154458274,16.67309880137843,14.70341745670175,14.70341797334953,0.0,5.337591158766341,5.337592318800802
Industry,29.037467292852728,29.037467262204572,28.682245282439382,28.68224520873494,0.0,28.957355926635103,28.957356016651076
Sales,54.89295262734165,54.89295292678601,54.16066537095926,54.160665346118925,0.0,53.225371241369906,53.22537083545364
Transport,35.797675238708344,35.7976747852956,30.21188506725986,30.211885634851264,0.0,32.328835955110804,32.32883566763157
Unclassified,32.013835645951445,32.01383575230399,22.063411607898182,22.06341147639361,0.0,28.126001153236015,28.126001179059283
